Objeto,ActivoRender,Colecciones,Xmin_m,AlturaMin_m,Zmin_m,Xmax_m,AlturaMax_m,Zmax_m,DX_m,Altura_m,DZ_m,EscalaX,EscalaY,EscalaZ,Alertas_no_dictamen
Pilar frontal 0,True,SITE,-0.125,-0.04999995231628418,-0.10500000044703484,0.125,2.049999952316284,0.14499999955296516,0.25,2.0999999046325684,0.25,1.0,1.0,1.0,
Pilar frontal 1,True,SITE,3.5250000953674316,-0.04999995231628418,-0.10500000044703484,3.7750000953674316,2.049999952316284,0.14499999955296516,0.25,2.0999999046325684,0.25,1.0,1.0,1.0,
Pilar frontal 2,True,SITE,7.195000171661377,-0.04999995231628418,-0.10500000044703484,7.445000171661377,2.049999952316284,0.14499999955296516,0.25,2.0999999046325684,0.25,1.0,1.0,1.0,
Pilar frontal 3,True,SITE,10.875,-0.04999995231628418,-0.10500000044703484,11.125,2.049999952316284,0.14499999955296516,0.25,2.0999999046325684,0.25,1.0,1.0,1.0,
Pilar frontal 4,True,SITE,13.875,-0.04999995231628418,-0.10500000044703484,14.125,2.049999952316284,0.14499999955296516,0.25,2.0999999046325684,0.25,1.0,1.0,1.0,
Portón negro,True,SITE,11.0,0.08500003814697266,0.1899999938905239,14.0,2.0850000381469727,0.28999999538064003,3.0,2.0,0.10000000149011612,3.0,0.10000000149011612,2.0,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 11.25,True,SITE,11.232499999925494,0.15500003099441528,0.14999999664723873,11.267500000074506,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 11.57,True,SITE,11.552499694749713,0.15500003099441528,0.14999999664723873,11.587499694898725,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 11.89,True,SITE,11.872500343248248,0.15500003099441528,0.14999999664723873,11.90750034339726,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 12.21,True,SITE,12.192500038072467,0.15500003099441528,0.14999999664723873,12.227500038221478,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
